data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#event+id,#country+code,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
5668808,356,IND58772,58772,26/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Assam,Golaghat,Golaghat,Golaghat,26.5116,93.9595,1,Sentinel (India),Subnational,"On 26 July, members of All Assam Students Union staged a protest Golaghat city (Assam) against the decision of the government to shutdown Golaghat Engineering College. [size=no report]",0,1564494185,IND
5668825,356,IND58789,58789,26/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),Labour Group (India),6,,,0,60,Southern Asia,India,Jammu and Kashmir,Udhampur,Ramnagar,Ramnagar,32.8055,75.3148,1,Daily Excelsior,Subnational,"On July 26, Mid Day Meal workers protested at Government Model Higher Secondary School in Ramnagar town (Udhampur, J&K) against Education Department demanding a raise in their remuneration. [size=scores]",0,1564494185,IND
5668828,356,IND58792,58792,26/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Jammu and Kashmir,Udhampur,Udhampur,Udhampur,32.9243,75.1357,1,Early Times (India),Subnational,"On July 26, locals and students from Government Higher Secondary School in Battal Balian protested in Udhampur city (Udhampur, J&K) demanding posting of adequate staffs and provision of better facilities for the school. [size=no report]",0,1564494185,IND
5668831,356,IND58795,58795,26/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,Southern Asia,India,Jammu and Kashmir,Poonch,Mendhar,Kala Ban,33.6346,74.2122,1,Daily Excelsior,Subnational,"On July 26, parents protested and locked Government Primary School Baniyan Wali in Kala Ban town (Poonch, J&K) against the unavailability of teachers in the school. [size=no report]",0,1564494185,IND
5668832,356,IND58796,58796,26/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,Southern Asia,India,Jammu and Kashmir,Kathua,Kathua,Kathua,32.3867,75.5174,1,Daily Excelsior,Subnational,"On July 26, parents of school children blocked the college road and protested in front of DC Office in Kathua city (Kathua, J&K) against the District Administration over its decision to ban public transport vehicles including buses, mini buses and van from plying school children. [size=large]",0,1564494185,IND
5668836,356,IND58800,58800,26/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,1,Chandigarh Tribune,Subnational,"On 26 July, members of the Ambedkar Students' Association demonstrated at the Panjab University and submitted a memorandum to the VC in Chandigarh city (Chandigarh) to demand the opening of canteens. [size=no report]",0,1564494185,IND
5668840,356,IND58804,58804,26/07/2019,2019,1,Protests,Protest with intervention,Protesters (India),SFI: Students Federation of India; AISA: All India Students Association; Students (India),6,Private Security Forces (India),,8,68,Southern Asia,India,NCT of Delhi,New Delhi,,Delhi-New Delhi,28.6357,77.2244,1,Times of India,National,"On 26 July, student groups including the SFI and AISA demonstrated outside the Delhi University's central library in New Delhi (NCT of Delhi) to demand round the clock access to the library. Security personnel dragged students and snatched their banners; no injuries were reported. [size=no report]",0,1564494185,IND
5661983,400,JOR426,426,25/07/2019,2019,1,Protests,Peaceful protest,Protesters (Jordan),Health Workers (Jordan),6,,,0,60,Middle East,Jordan,Amman,Qasabat Amman,,Amman,31.9552,35.945,1,Al Ghad (Jordan),National,"On 25 July 2019, workers of Jordanian University hospital protested against the delay in payment of bonuses, in Amman city. [size=no report]",0,1564425899,JOR
5662875,454,MAW483,483,25/07/2019,2019,1,Riots,Violent demonstration,Rioters (Malawi),,5,Police Forces of Malawi (2014-),,1,15,Eastern Africa,Malawi,Northern,Mzimba,Mzimba Boma,Mzimba,-11.9,33.6,1,Nation (Malawi),National,"25 July. Thousands of demonstrators marched from Mnjili Community Day Secondary School to M'mbelwa District Council offices in Mzimba where they presented a petition calling for the resignation of Malawi Electoral Commission (MEC) chairperson Jane Ansah for allegedly mishandling the May 21 Tripartite Elections. The police fired tear gas at the demonstrators. Demonstrators threw bricks and wood at the police, broke shop windows, and blocked roads with burning tires. [size=1000].",0,1564426183,MWI
5662934,566,NIG15063,15063,25/07/2019,2019,1,Protests,Peaceful protest,Protesters (Nigeria),Labour Group (Nigeria); ASUU: Academic Staff Union of Universities,6,,,0,60,Western Africa,Nigeria,Edo,Esan West,,Ekpoma,6.7421,6.139,1,Sun (Nigeria),National,25 July. Members of ASUU at the Amrbose Alli University in Ekpoma demonstrated against the suspension of its executive members. [size=no report],0,1564426183,NGA
5662936,566,NIG15065,15065,25/07/2019,2019,1,Riots,Violent demonstration,Rioters (Nigeria),Students (Nigeria),5,Police Forces of Nigeria (2015-),,1,15,Western Africa,Nigeria,Osun,Osogbo,,Oshogbo,7.7667,4.5667,1,Daily Post (Nigeria); Blueprint,National,25 July. Students at the University in Osogbo went on rampage and blocked a highway to demonstrate against the arrest of 35 fellow students. Police forces dispersed the demonstrators. [size=no report],0,1564426183,NGA
5663189,800,UGA5617,5617,25/07/2019,2019,1,Riots,Violent demonstration,Rioters (Uganda),Students (Uganda); Women (Uganda),5,Police Forces of Uganda (1986-),,1,15,Eastern Africa,Uganda,Mbale,Mbale Municipality,Northern,Mbale,1.0806,34.175,1,URN (Uganda),National,"On July 25th, students from two secondary schools in Mbale (Mbale district) clashed following escalating disputes. Police fired teargas at the students, causing 50 hospitalizations, mostly of female students. [size=dozens]",0,1564426184,UGA
5667765,50,BGD16374,16374,25/07/2019,2019,1,Riots,Mob violence,Rioters (Bangladesh),BCL: Bangladesh Chhatra League; Students (Bangladesh),5,Civilians (Bangladesh),Students (Bangladesh),7,57,Southern Asia,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,22.3571,91.7823,1,Daily Star (Bangladesh),National,"On July 25, rioting activists of BCL attacked a student of Chittagong university on campus (Chittagong city) on the suspicion of being an activist of Shibbir. [size=10-12]",0,1564494184,BGD
5668734,356,IND58697,58697,25/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Manipur,Imphal West,Imphal,Imphal,24.7908,93.9302,1,India Today,National,"On 25 July, students from various schools staged a protest by forming human chain in Kakwa locality of Imphal (Imphal West district, Manipur) demanding justice for Babysana who had died at the hostel of Standard Robarth Higher Secondary School. [size=no report].",0,1564494185,IND
5668735,356,IND58698,58698,25/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Manipur,Imphal West,Imphal,Imphal,24.7908,93.9302,1,India Today,National,"On 25 July, students of St. Patrick English School staged a protest in Thangmeiband Meisnam Leikai locality in Imphal city (Manipur) demanding justice for Babysana who had died at the hostel of Standard Robarth Higher Secondary School. [size=no report].",0,1564494185,IND
5668738,356,IND58701,58701,25/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Manipur,Imphal West,Kitna Panung,Canchipur,24.7462,93.9374,1,India Today,National,"On 25 July, students from various schools staged a protest by forming human chain in Canchipur town of Kitna Panung (Imphal West district, Manipur) demanding justice for Babysana who had died at the hostel of Standard Robarth Higher Secondary School. [size=no report].",0,1564494185,IND
5668768,356,IND58732,58732,25/07/2019,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Andhra Pradesh,Anantapur,Anantapur,Anantapur,14.6778,77.6081,1,The Hindu,National,"On 25 July, university students and samithi members staged a protest at the Central university in Anantapur city (Andhra Pradesh) against the lack of facilities at the university. [size=no report]",0,1564494185,IND
